Price_INR,KM_Driven,Car_Age,Owner_Number,Latitude,Longitude,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Manual,Brand_Hyundai,Brand_Kia,Brand_MG,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Mercedes-Benz,Brand_Other,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen
325000.0,59000.0,12,1.0,22.4565251,88.3865114,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
415000.00000000006,20422.0,8,1.0,22.5726,88.3639,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
256999.99999999997,57106.0,8,2.0,22.5726,88.3639,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
547000.0,83534.0,4,1.0,22.5726,88.3639,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
195000.0,50000.0,12,2.0,22.4565251,88.3865114,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
185000.0,41814.0,13,1.0,22.5507265,88.4039735,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
1375000.0,5600.0,2,1.0,22.5280337,88.3659084,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
245000.00000000003,45233.0,11,1.0,22.5153313,88.3477052,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
305000.0,30000.0,7,2.0,22.5770567,88.4136879,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
150000.0,30000.0,14,1.0,22.5726459,88.3638953,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
340000.0,47527.0,9,1.0,22.5153313,88.3477052,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
776000.0,28431.0,4,1.0,22.5726,88.3639,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2800000.0,50000.0,3,2.0,22.5525664,88.3561356,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
215000.0,55000.0,14,1.0,22.5153313,88.3477052,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
1050000.0,115000.0,5,2.0,22.5726459,88.3638953,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1200000.0,70000.0,5,2.0,22.5280337,88.3659084,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
279000.0,44094.0,11,1.0,22.5726,88.3639,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
225000.0,44000.0,8,1.0,22.4565251,88.3865114,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
249000.00000000003,45000.0,12,1.0,22.5325844,88.3454429,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
567000.0,58720.0,6,1.0,22.5726,88.3639,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
225000.0,53000.0,12,1.0,22.4565251,88.3865114,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
985000.0,25000.0,3,1.0,22.5856663,88.392521,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
775000.0,7000.0,3,1.0,22.5325844,88.3454429,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
252999.99999999997,72165.0,10,2.0,22.5726,88.3639,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
297000.0,49000.0,14,1.0,22.5262287,88.3526209,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
750000.0,50000.0,5,1.0,22.5044355,88.3721663,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
535000.0,55000.0,7,1.0,22.5193459,88.3642874,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
599000.0,16000.0,2,1.0,22.5280337,88.3659084,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
475000.0,54000.0,10,2.0,22.4565251,88.3865114,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1049000.0,12000.0,3,2.0,22.540728,88.3827317,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
309000.0,42603.0,8,1.0,22.5726,88.3639,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2000000.0,35000.0,4,1.0,22.590425,88.41692,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
825000.0,29000.0,3,1.0,22.5044355,88.3721663,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
725000.0,45000.0,4,1.0,22.5280337,88.3659084,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
509999.99999999994,30000.0,6,1.0,22.5726,88.3639,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1925000.0,51089.0,9,1.0,22.590425,88.41692,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
798000.0,40000.0,5,1.0,22.5044355,88.3721663,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
290000.0,41363.0,10,2.0,22.5507265,88.4039735,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
1089000.0,38000.0,4,1.0,22.5153313,88.3477052,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
550000.0,70000.0,8,3.0,22.5726,88.3639,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
320000.0,60000.0,14,2.0,22.5262287,88.3526209,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
